ternary_level,r,M,y,A,t_min,parity_word,ternary_path,status,reverse_odd_steps,reverse_exponent_sum,reverse_exponents,smaller_family_constant,smaller_family_slope,minimum_represented_n
0,27,1048576,395,14348907,0,11011111010110111011,,TERNARY_SPLIT,,,,,,27
1,27,3145728,395,43046721,0,11011111010110111011,0,TERNARY_SPLIT,,,,,,27
2,27,9437184,395,129140163,0,11011111010110111011,00,OPEN,,,,,,27
2,3145755,9437184,43047116,129140163,0,11011111010110111011,01,OPEN,,,,,,3145755
2,6291483,9437184,86093837,129140163,0,11011111010110111011,02,OPEN,,,,,,6291483
1,1048603,3145728,14349302,43046721,0,11011111010110111011,1,TERNARY_SPLIT,,,,,,1048603
2,1048603,9437184,14349302,129140163,0,11011111010110111011,10,REVERSE_MERGE,17,23,"[1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",932091,8388608,1048603
2,4194331,9437184,57396023,129140163,0,11011111010110111011,11,OPEN,,,,,,4194331
2,7340059,9437184,100442744,129140163,0,11011111010110111011,12,OPEN,,,,,,7340059
1,2097179,3145728,28698209,43046721,0,11011111010110111011,2,REVERSE_MERGE,16,21,"[1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1]",1398119,2097152,2097179
0,524315,1048576,2391616,4782969,0,11011111010110111010,,TERNARY_SPLIT,,,,,,524315
1,524315,3145728,2391616,14348907,0,11011111010110111010,0,REVERSE_MERGE,15,21,"[2,2,1,1,2,1,2,2,1,1,1,1,2,1,1]",349543,2097152,524315
1,1572891,3145728,7174585,14348907,0,11011111010110111010,1,TERNARY_SPLIT,,,,,,1572891
2,1572891,9437184,7174585,43046721,0,11011111010110111010,10,OPEN,,,,,,1572891
2,4718619,9437184,21523492,43046721,0,11011111010110111010,11,OPEN,,,,,,4718619
2,7864347,9437184,35872399,43046721,0,11011111010110111010,12,OPEN,,,,,,7864347
1,2621467,3145728,11957554,14348907,0,11011111010110111010,2,TERNARY_SPLIT,,,,,,2621467
2,2621467,9437184,11957554,43046721,0,11011111010110111010,20,OPEN,,,,,,2621467
2,5767195,9437184,26306461,43046721,0,11011111010110111010,21,REVERSE_MERGE,16,23,"[2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",5126395,8388608,5767195
2,8912923,9437184,40655368,43046721,0,11011111010110111010,22,OPEN,,,,,,8912923
0,262171,1048576,1195874,4782969,0,11011111010110111001,,TERNARY_SPLIT,,,,,,262171
1,262171,3145728,1195874,14348907,0,11011111010110111001,0,TERNARY_SPLIT,,,,,,262171
2,262171,9437184,1195874,43046721,0,11011111010110111001,00,OPEN,,,,,,262171
2,3407899,9437184,15544781,43046721,0,11011111010110111001,01,REVERSE_MERGE,16,23,"[1,3,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",3029243,8388608,3407899
2,6553627,9437184,29893688,43046721,0,11011111010110111001,02,OPEN,,,,,,6553627
1,1310747,3145728,5978843,14348907,0,11011111010110111001,1,REVERSE_MERGE,15,21,"[1,3,1,1,2,1,2,2,1,1,1,1,2,1,1]",873831,2097152,1310747
1,2359323,3145728,10761812,14348907,0,11011111010110111001,2,TERNARY_SPLIT,,,,,,2359323
2,2359323,9437184,10761812,43046721,0,11011111010110111001,20,OPEN,,,,,,2359323
2,5505051,9437184,25110719,43046721,0,11011111010110111001,21,OPEN,,,,,,5505051
2,8650779,9437184,39459626,43046721,0,11011111010110111001,22,OPEN,,,,,,8650779
0,786459,1048576,1195786,1594323,0,11011111010110111000,,TERNARY_SPLIT,,,,,,786459
1,786459,3145728,1195786,4782969,0,11011111010110111000,0,TERNARY_SPLIT,,,,,,786459
2,786459,9437184,1195786,14348907,0,11011111010110111000,00,OPEN,,,,,,786459
2,3932187,9437184,5978755,14348907,0,11011111010110111000,01,OPEN,,,,,,3932187
2,7077915,9437184,10761724,14348907,0,11011111010110111000,02,OPEN,,,,,,7077915
1,1835035,3145728,2790109,4782969,0,11011111010110111000,1,TERNARY_SPLIT,,,,,,1835035
2,1835035,9437184,2790109,14348907,0,11011111010110111000,10,OPEN,,,,,,1835035
2,4980763,9437184,7573078,14348907,0,11011111010110111000,11,OPEN,,,,,,4980763
2,8126491,9437184,12356047,14348907,0,11011111010110111000,12,REVERSE_MERGE,15,23,"[4,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",7223547,8388608,8126491
1,2883611,3145728,4384432,4782969,0,11011111010110111000,2,REVERSE_MERGE,14,21,"[4,1,1,2,1,2,2,1,1,1,1,2,1,1]",1922407,2097152,2883611
0,131099,1048576,1794008,14348907,0,11011111010110111101,,TERNARY_SPLIT,,,,,,131099
1,131099,3145728,1794008,43046721,0,11011111010110111101,0,REVERSE_MERGE,16,21,"[1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1]",87399,2097152,131099
1,1179675,3145728,16142915,43046721,0,11011111010110111101,1,TERNARY_SPLIT,,,,,,1179675
2,1179675,9437184,16142915,129140163,0,11011111010110111101,10,OPEN,,,,,,1179675
2,4325403,9437184,59189636,129140163,0,11011111010110111101,11,OPEN,,,,,,4325403
2,7471131,9437184,102236357,129140163,0,11011111010110111101,12,OPEN,,,,,,7471131
1,2228251,3145728,30491822,43046721,0,11011111010110111101,2,TERNARY_SPLIT,,,,,,2228251
2,2228251,9437184,30491822,129140163,0,11011111010110111101,20,REVERSE_MERGE,17,23,"[1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",1980667,8388608,2228251
2,5373979,9437184,73538543,129140163,0,11011111010110111101,21,OPEN,,,,,,5373979
2,8519707,9437184,116585264,129140163,0,11011111010110111101,22,OPEN,,,,,,8519707
0,655387,1048576,2989487,4782969,0,11011111010110111100,,TERNARY_SPLIT,,,,,,655387
1,655387,3145728,2989487,14348907,0,11011111010110111100,0,TERNARY_SPLIT,,,,,,655387
2,655387,9437184,2989487,43046721,0,11011111010110111100,00,OPEN,,,,,,655387
2,3801115,9437184,17338394,43046721,0,11011111010110111100,01,OPEN,,,,,,3801115
2,6946843,9437184,31687301,43046721,0,11011111010110111100,02,REVERSE_MERGE,16,23,"[3,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",6174971,8388608,6946843
1,1703963,3145728,7772456,14348907,0,11011111010110111100,1,REVERSE_MERGE,15,21,"[3,1,1,1,2,1,2,2,1,1,1,1,2,1,1]",1135975,2097152,1703963
1,2752539,3145728,12555425,14348907,0,11011111010110111100,2,TERNARY_SPLIT,,,,,,2752539
2,2752539,9437184,12555425,43046721,0,11011111010110111100,20,OPEN,,,,,,2752539
2,5898267,9437184,26904332,43046721,0,11011111010110111100,21,OPEN,,,,,,5898267
2,9043995,9437184,41253239,43046721,0,11011111010110111100,22,OPEN,,,,,,9043995
0,393243,1048576,16143704,43046721,0,11011111010110111111,,TERNARY_SPLIT,,,,,,393243
1,393243,3145728,16143704,129140163,0,11011111010110111111,0,TERNARY_SPLIT,,,,,,393243
2,393243,9437184,16143704,387420489,0,11011111010110111111,00,OPEN,,,,,,393243
2,3538971,9437184,145283867,387420489,0,11011111010110111111,01,OPEN,,,,,,3538971
2,6684699,9437184,274424030,387420489,0,11011111010110111111,02,OPEN,,,,,,6684699
1,1441819,3145728,59190425,129140163,0,11011111010110111111,1,TERNARY_SPLIT,,,,,,1441819
2,1441819,9437184,59190425,387420489,0,11011111010110111111,10,OPEN,,,,,,1441819
2,4587547,9437184,188330588,387420489,0,11011111010110111111,11,REVERSE_MERGE,18,23,"[1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",4077819,8388608,4587547
2,7733275,9437184,317470751,387420489,0,11011111010110111111,12,OPEN,,,,,,7733275
1,2490395,3145728,102237146,129140163,0,11011111010110111111,2,REVERSE_MERGE,17,21,"[1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1]",1660263,2097152,2490395
0,917531,1048576,12555688,14348907,0,11011111010110111110,,TERNARY_SPLIT,,,,,,917531
1,917531,3145728,12555688,43046721,0,11011111010110111110,0,REVERSE_MERGE,16,21,"[2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1]",611687,2097152,917531
1,1966107,3145728,26904595,43046721,0,11011111010110111110,1,TERNARY_SPLIT,,,,,,1966107
2,1966107,9437184,26904595,129140163,0,11011111010110111110,10,OPEN,,,,,,1966107
2,5111835,9437184,69951316,129140163,0,11011111010110111110,11,OPEN,,,,,,5111835
2,8257563,9437184,112998037,129140163,0,11011111010110111110,12,OPEN,,,,,,8257563
1,3014683,3145728,41253502,43046721,0,11011111010110111110,2,TERNARY_SPLIT,,,,,,3014683
2,3014683,9437184,41253502,129140163,0,11011111010110111110,20,OPEN,,,,,,3014683
2,6160411,9437184,84300223,129140163,0,11011111010110111110,21,OPEN,,,,,,6160411
2,9306139,9437184,127346944,129140163,0,11011111010110111110,22,REVERSE_MERGE,17,23,"[2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1]",8272123,8388608,9306139
0,65563,1048576,99689,1594323,0,11011111010110110100,,TERNARY_SPLIT,,,,,,65563
1,65563,3145728,99689,4782969,0,11011111010110110100,0,TERNARY_SPLIT,,,,,,65563
2,65563,9437184,99689,14348907,0,11011111010110110100,00,OPEN,,,,,,65563
2,3211291,9437184,4882658,14348907,0,11011111010110110100,01,OPEN,,,,,,3211291
2,6357019,9437184,9665627,14348907,0,11011111010110110100,02,REVERSE_MERGE,15,23,"[3,2,1,2,1,2,2,1,1,1,1,2,1,2,1]",5650683,8388608,6357019
1,1114139,3145728,1694012,4782969,0,11011111010110110100,1,REVERSE_MERGE,14,21,"[3,2,1,2,1,2,2,1,1,1,1,2,1,1]",742759,2097152,1114139
1,2162715,3145728,3288335,4782969,0,11011111010110110100,2,TERNARY_SPLIT,,,,,,2162715
2,2162715,9437184,3288335,14348907,0,11011111010110110100,20,OPEN,,,,,,2162715
2,5308443,9437184,8071304,14348907,0,11011111010110110100,21,OPEN,,,,,,5308443
2,8454171,9437184,12854273,14348907,0,11011111010110110100,22,OPEN,,,,,,8454171
0,589851,1048576,2690552,4782969,0,11011111010110110101,,TERNARY_SPLIT,,,,,,589851
1,589851,3145728,2690552,14348907,0,11011111010110110101,0,TERNARY_SPLIT,,,,,,589851
2,589851,9437184,2690552,43046721,0,11011111010110110101,00,OPEN,,,,,,589851
2,3735579,9437184,17039459,43046721,0,11011111010110110101,01,OPEN,,,,,,3735579
2,6881307,9437184,31388366,43046721,0,11011111010110110101,02,OPEN,,,,,,6881307
1,1638427,3145728,7473521,14348907,0,11011111010110110101,1,TERNARY_SPLIT,,,,,,1638427
2,1638427,9437184,7473521,43046721,0,11011111010110110101,10,REVERSE_MERGE,16,23,"[1,2,2,1,2,1,2,2,1,1,1,1,2,1,2,1]",1456379,8388608,1638427
2,4784155,9437184,21822428,43046721,0,11011111010110110101,11,OPEN,,,,,,4784155
2,7929883,9437184,36171335,43046721,0,11011111010110110101,12,OPEN,,,,,,7929883
1,2687003,3145728,12256490,14348907,0,11011111010110110101,2,REVERSE_MERGE,15,21,"[1,2,2,1,2,1,2,2,1,1,1,1,2,1,1]",1791335,2097152,2687003
0,327707,1048576,4484429,14348907,0,11011111010110110111,,TERNARY_SPLIT,,,,,,327707
1,327707,3145728,4484429,43046721,0,11011111010110110111,0,REVERSE_MERGE,16,21,"[1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1]",218471,2097152,327707
1,1376283,3145728,18833336,43046721,0,11011111010110110111,1,TERNARY_SPLIT,,,,,,1376283
2,1376283,9437184,18833336,129140163,0,11011111010110110111,10,OPEN,,,,,,1376283
2,4522011,9437184,61880057,129140163,0,11011111010110110111,11,OPEN,,,,,,4522011
2,7667739,9437184,104926778,129140163,0,11011111010110110111,12,OPEN,,,,,,7667739
1,2424859,3145728,33182243,43046721,0,11011111010110110111,2,TERNARY_SPLIT,,,,,,2424859
2,2424859,9437184,33182243,129140163,0,11011111010110110111,20,OPEN,,,,,,2424859
2,5570587,9437184,76228964,129140163,0,11011111010110110111,21,OPEN,,,,,,5570587
2,8716315,9437184,119275685,129140163,0,11011111010110110111,22,REVERSE_MERGE,17,23,"[1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1]",7747835,8388608,8716315
0,851995,1048576,3886294,4782969,0,11011111010110110110,,TERNARY_SPLIT,,,,,,851995
1,851995,3145728,3886294,14348907,0,11011111010110110110,0,TERNARY_SPLIT,,,,,,851995
2,851995,9437184,3886294,43046721,0,11011111010110110110,00,OPEN,,,,,,851995
2,3997723,9437184,18235201,43046721,0,11011111010110110110,01,REVERSE_MERGE,16,23,"[2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1]",3553531,8388608,3997723
2,7143451,9437184,32584108,43046721,0,11011111010110110110,02,OPEN,,,,,,7143451
1,1900571,3145728,8669263,14348907,0,11011111010110110110,1,REVERSE_MERGE,15,21,"[2,1,2,1,2,1,2,2,1,1,1,1,2,1,1]",1267047,2097152,1900571
1,2949147,3145728,13452232,14348907,0,11011111010110110110,2,TERNARY_SPLIT,,,,,,2949147
2,2949147,9437184,13452232,43046721,0,11011111010110110110,20,OPEN,,,,,,2949147
2,6094875,9437184,27801139,43046721,0,11011111010110110110,21,OPEN,,,,,,6094875
2,9240603,9437184,42150046,43046721,0,11011111010110110110,22,OPEN,,,,,,9240603
0,196635,1048576,896939,4782969,0,11011111010110110011,,TERNARY_SPLIT,,,,,,196635
1,196635,3145728,896939,14348907,0,11011111010110110011,0,TERNARY_SPLIT,,,,,,196635
2,196635,9437184,896939,43046721,0,11011111010110110011,00,OPEN,,,,,,196635
2,3342363,9437184,15245846,43046721,0,11011111010110110011,01,OPEN,,,,,,3342363
2,6488091,9437184,29594753,43046721,0,11011111010110110011,02,OPEN,,,,,,6488091
1,1245211,3145728,5679908,14348907,0,11011111010110110011,1,TERNARY_SPLIT,,,,,,1245211
2,1245211,9437184,5679908,43046721,0,11011111010110110011,10,OPEN,,,,,,1245211
2,4390939,9437184,20028815,43046721,0,11011111010110110011,11,OPEN,,,,,,4390939
2,7536667,9437184,34377722,43046721,0,11011111010110110011,12,REVERSE_MERGE,16,23,"[1,1,3,1,2,1,2,2,1,1,1,1,2,1,2,1]",6699259,8388608,7536667
1,2293787,3145728,10462877,14348907,0,11011111010110110011,2,REVERSE_MERGE,15,21,"[1,1,3,1,2,1,2,2,1,1,1,1,2,1,1]",1529191,2097152,2293787
0,720923,1048576,1096141,1594323,0,11011111010110110010,,TERNARY_SPLIT,,,,,,720923
1,720923,3145728,1096141,4782969,0,11011111010110110010,0,REVERSE_MERGE,14,21,"[2,3,1,2,1,2,2,1,1,1,1,2,1,1]",480615,2097152,720923
1,1769499,3145728,2690464,4782969,0,11011111010110110010,1,TERNARY_SPLIT,,,,,,1769499
2,1769499,9437184,2690464,14348907,0,11011111010110110010,10,OPEN,,,,,,1769499
2,4915227,9437184,7473433,14348907,0,11011111010110110010,11,OPEN,,,,,,4915227
2,8060955,9437184,12256402,14348907,0,11011111010110110010,12,OPEN,,,,,,8060955
1,2818075,3145728,4284787,4782969,0,11011111010110110010,2,TERNARY_SPLIT,,,,,,2818075
2,2818075,9437184,4284787,14348907,0,11011111010110110010,20,REVERSE_MERGE,15,23,"[2,3,1,2,1,2,2,1,1,1,1,2,1,2,1]",2504955,8388608,2818075
2,5963803,9437184,9067756,14348907,0,11011111010110110010,21,OPEN,,,,,,5963803
2,9109531,9437184,13850725,14348907,0,11011111010110110010,22,OPEN,,,,,,9109531
0,983067,1048576,1494722,1594323,0,11011111010110110001,,TERNARY_SPLIT,,,,,,983067
1,983067,3145728,1494722,4782969,0,11011111010110110001,0,TERNARY_SPLIT,,,,,,983067
2,983067,9437184,1494722,14348907,0,11011111010110110001,00,OPEN,,,,,,983067
2,4128795,9437184,6277691,14348907,0,11011111010110110001,01,OPEN,,,,,,4128795
2,7274523,9437184,11060660,14348907,0,11011111010110110001,02,OPEN,,,,,,7274523
1,2031643,3145728,3089045,4782969,0,11011111010110110001,1,TERNARY_SPLIT,,,,,,2031643
2,2031643,9437184,3089045,14348907,0,11011111010110110001,10,OPEN,,,,,,2031643
2,5177371,9437184,7872014,14348907,0,11011111010110110001,11,REVERSE_MERGE,15,23,"[1,4,1,2,1,2,2,1,1,1,1,2,1,2,1]",4602107,8388608,5177371
2,8323099,9437184,12654983,14348907,0,11011111010110110001,12,OPEN,,,,,,8323099
1,3080219,3145728,4683368,4782969,0,11011111010110110001,2,REVERSE_MERGE,14,21,"[1,4,1,2,1,2,2,1,1,1,1,2,1,1]",2053479,2097152,3080219
0,32795,1048576,149600,4782969,0,11011111010110101101,,TERNARY_SPLIT,,,,,,32795
1,32795,3145728,149600,14348907,0,11011111010110101101,0,REVERSE_MERGE,15,21,"[1,2,1,2,2,1,2,2,1,1,1,1,2,1,1]",21863,2097152,32795
1,1081371,3145728,4932569,14348907,0,11011111010110101101,1,TERNARY_SPLIT,,,,,,1081371
2,1081371,9437184,4932569,43046721,0,11011111010110101101,10,OPEN,,,,,,1081371
2,4227099,9437184,19281476,43046721,0,11011111010110101101,11,OPEN,,,,,,4227099
2,7372827,9437184,33630383,43046721,0,11011111010110101101,12,OPEN,,,,,,7372827
1,2129947,3145728,9715538,14348907,0,11011111010110101101,2,TERNARY_SPLIT,,,,,,2129947
2,2129947,9437184,9715538,43046721,0,11011111010110101101,20,OPEN,,,,,,2129947
2,5275675,9437184,24064445,43046721,0,11011111010110101101,21,OPEN,,,,,,5275675
2,8421403,9437184,38413352,43046721,0,11011111010110101101,22,REVERSE_MERGE,16,23,"[1,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1]",7485691,8388608,8421403
0,557083,1048576,847028,1594323,0,11011111010110101100,,TERNARY_SPLIT,,,,,,557083
1,557083,3145728,847028,4782969,0,11011111010110101100,0,TERNARY_SPLIT,,,,,,557083
2,557083,9437184,847028,14348907,0,11011111010110101100,00,OPEN,,,,,,557083
2,3702811,9437184,5629997,14348907,0,11011111010110101100,01,REVERSE_MERGE,15,23,"[3,1,2,2,1,2,2,1,1,1,1,2,1,2,1]",3291387,8388608,3702811
2,6848539,9437184,10412966,14348907,0,11011111010110101100,02,OPEN,,,,,,6848539
1,1605659,3145728,2441351,4782969,0,11011111010110101100,1,REVERSE_MERGE,14,21,"[3,1,2,2,1,2,2,1,1,1,1,2,1,1]",1070439,2097152,1605659
1,2654235,3145728,4035674,4782969,0,11011111010110101100,2,TERNARY_SPLIT,,,,,,2654235
2,2654235,9437184,4035674,14348907,0,11011111010110101100,20,OPEN,,,,,,2654235
2,5799963,9437184,8818643,14348907,0,11011111010110101100,21,OPEN,,,,,,5799963
2,8945691,9437184,13601612,14348907,0,11011111010110101100,22,OPEN,,,,,,8945691
0,294939,1048576,1345342,4782969,0,11011111010110101110,,TERNARY_SPLIT,,,,,,294939
1,294939,3145728,1345342,14348907,0,11011111010110101110,0,TERNARY_SPLIT,,,,,,294939
2,294939,9437184,1345342,43046721,0,11011111010110101110,00,OPEN,,,,,,294939
2,3440667,9437184,15694249,43046721,0,11011111010110101110,01,OPEN,,,,,,3440667
2,6586395,9437184,30043156,43046721,0,11011111010110101110,02,OPEN,,,,,,6586395
1,1343515,3145728,6128311,14348907,0,11011111010110101110,1,TERNARY_SPLIT,,,,,,1343515
2,1343515,9437184,6128311,43046721,0,11011111010110101110,10,REVERSE_MERGE,16,23,"[2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1]",1194235,8388608,1343515
2,4489243,9437184,20477218,43046721,0,11011111010110101110,11,OPEN,,,,,,4489243
2,7634971,9437184,34826125,43046721,0,11011111010110101110,12,OPEN,,,,,,7634971
1,2392091,3145728,10911280,14348907,0,11011111010110101110,2,REVERSE_MERGE,15,21,"[2,1,1,2,2,1,2,2,1,1,1,1,2,1,1]",1594727,2097152,2392091
0,819227,1048576,11210480,14348907,0,11011111010110101111,,TERNARY_SPLIT,,,,,,819227
1,819227,3145728,11210480,43046721,0,11011111010110101111,0,REVERSE_MERGE,16,21,"[1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1]",546151,2097152,819227
1,1867803,3145728,25559387,43046721,0,11011111010110101111,1,TERNARY_SPLIT,,,,,,1867803
2,1867803,9437184,25559387,129140163,0,11011111010110101111,10,OPEN,,,,,,1867803
2,5013531,9437184,68606108,129140163,0,11011111010110101111,11,OPEN,,,,,,5013531
2,8159259,9437184,111652829,129140163,0,11011111010110101111,12,OPEN,,,,,,8159259
1,2916379,3145728,39908294,43046721,0,11011111010110101111,2,TERNARY_SPLIT,,,,,,2916379
2,2916379,9437184,39908294,129140163,0,11011111010110101111,20,OPEN,,,,,,2916379
2,6062107,9437184,82955015,129140163,0,11011111010110101111,21,REVERSE_MERGE,17,23,"[1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1]",5388539,8388608,6062107
2,9207835,9437184,126001736,129140163,0,11011111010110101111,22,OPEN,,,,,,9207835
0,163867,1048576,249157,1594323,0,11011111010110101010,,TERNARY_SPLIT,,,,,,163867
1,163867,3145728,249157,4782969,0,11011111010110101010,0,TERNARY_SPLIT,,,,,,163867
2,163867,9437184,249157,14348907,0,11011111010110101010,00,REVERSE_MERGE,15,23,"[2,2,2,2,1,2,2,1,1,1,1,2,1,2,1]",145659,8388608,163867
2,3309595,9437184,5032126,14348907,0,11011111010110101010,01,OPEN,,,,,,3309595
2,6455323,9437184,9815095,14348907,0,11011111010110101010,02,OPEN,,,,,,6455323
1,1212443,3145728,1843480,4782969,0,11011111010110101010,1,REVERSE_MERGE,14,21,"[2,2,2,2,1,2,2,1,1,1,1,2,1,1]",808295,2097152,1212443
1,2261019,3145728,3437803,4782969,0,11011111010110101010,2,TERNARY_SPLIT,,,,,,2261019
2,2261019,9437184,3437803,14348907,0,11011111010110101010,20,OPEN,,,,,,2261019
2,5406747,9437184,8220772,14348907,0,11011111010110101010,21,OPEN,,,,,,5406747
2,8552475,9437184,13003741,14348907,0,11011111010110101010,22,OPEN,,,,,,8552475
0,688155,1048576,3138956,4782969,0,11011111010110101011,,TERNARY_SPLIT,,,,,,688155
1,688155,3145728,3138956,14348907,0,11011111010110101011,0,TERNARY_SPLIT,,,,,,688155
2,688155,9437184,3138956,43046721,0,11011111010110101011,00,OPEN,,,,,,688155
2,3833883,9437184,17487863,43046721,0,11011111010110101011,01,OPEN,,,,,,3833883
2,6979611,9437184,31836770,43046721,0,11011111010110101011,02,OPEN,,,,,,6979611
1,1736731,3145728,7921925,14348907,0,11011111010110101011,1,TERNARY_SPLIT,,,,,,1736731
2,1736731,9437184,7921925,43046721,0,11011111010110101011,10,OPEN,,,,,,1736731
2,4882459,9437184,22270832,43046721,0,11011111010110101011,11,REVERSE_MERGE,16,23,"[1,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1]",4339963,8388608,4882459
2,8028187,9437184,36619739,43046721,0,11011111010110101011,12,OPEN,,,,,,8028187
1,2785307,3145728,12704894,14348907,0,11011111010110101011,2,REVERSE_MERGE,15,21,"[1,1,2,2,2,1,2,2,1,1,1,1,2,1,1]",1856871,2097152,2785307
0,426011,1048576,647738,1594323,0,11011111010110101001,,REVERSE_MERGE,2,2,"[1,1]",287883,708588,426011
0,98331,1048576,149512,1594323,0,11011111010110100110,,REVERSE_MERGE,3,4,"[2,1,1]",88599,944784,98331
0,622619,1048576,2840021,4782969,0,11011111010110100111,,REVERSE_MERGE,4,4,"[1,1,1,1]",560991,944784,622619
0,360475,1048576,548093,1594323,0,11011111010110100101,,REVERSE_MERGE,3,4,"[1,2,1]",324795,944784,360475
0,573467,1048576,871940,1594323,0,11011111010110010101,,TERNARY_SPLIT,,,,,,573467
1,573467,3145728,871940,4782969,0,11011111010110010101,0,REVERSE_MERGE,14,21,"[1,2,2,3,1,2,2,1,1,1,1,2,1,1]",382311,2097152,573467
1,1622043,3145728,2466263,4782969,0,11011111010110010101,1,TERNARY_SPLIT,,,,,,1622043
2,1622043,9437184,2466263,14348907,0,11011111010110010101,10,OPEN,,,,,,1622043
2,4767771,9437184,7249232,14348907,0,11011111010110010101,11,OPEN,,,,,,4767771
2,7913499,9437184,12032201,14348907,0,11011111010110010101,12,OPEN,,,,,,7913499
1,2670619,3145728,4060586,4782969,0,11011111010110010101,2,TERNARY_SPLIT,,,,,,2670619
2,2670619,9437184,4060586,14348907,0,11011111010110010101,20,REVERSE_MERGE,15,23,"[1,2,2,3,1,2,2,1,1,1,1,2,1,2,1]",2373883,8388608,2670619
2,5816347,9437184,8843555,14348907,0,11011111010110010101,21,OPEN,,,,,,5816347
2,8962075,9437184,13626524,14348907,0,11011111010110010101,22,OPEN,,,,,,8962075
0,311323,1048576,473359,1594323,0,11011111010110010110,,TERNARY_SPLIT,,,,,,311323
1,311323,3145728,473359,4782969,0,11011111010110010110,0,TERNARY_SPLIT,,,,,,311323
2,311323,9437184,473359,14348907,0,11011111010110010110,00,REVERSE_MERGE,15,23,"[2,1,2,3,1,2,2,1,1,1,1,2,1,2,1]",276731,8388608,311323
2,3457051,9437184,5256328,14348907,0,11011111010110010110,01,OPEN,,,,,,3457051
2,6602779,9437184,10039297,14348907,0,11011111010110010110,02,OPEN,,,,,,6602779
1,1359899,3145728,2067682,4782969,0,11011111010110010110,1,REVERSE_MERGE,14,21,"[2,1,2,3,1,2,2,1,1,1,1,2,1,1]",906599,2097152,1359899
1,2408475,3145728,3662005,4782969,0,11011111010110010110,2,TERNARY_SPLIT,,,,,,2408475
2,2408475,9437184,3662005,14348907,0,11011111010110010110,20,OPEN,,,,,,2408475
2,5554203,9437184,8444974,14348907,0,11011111010110010110,21,OPEN,,,,,,5554203
2,8699931,9437184,13227943,14348907,0,11011111010110010110,22,OPEN,,,,,,8699931
0,835611,1048576,3811562,4782969,0,11011111010110010111,,TERNARY_SPLIT,,,,,,835611
1,835611,3145728,3811562,14348907,0,11011111010110010111,0,TERNARY_SPLIT,,,,,,835611
2,835611,9437184,3811562,43046721,0,11011111010110010111,00,OPEN,,,,,,835611
2,3981339,9437184,18160469,43046721,0,11011111010110010111,01,OPEN,,,,,,3981339
2,7127067,9437184,32509376,43046721,0,11011111010110010111,02,OPEN,,,,,,7127067
1,1884187,3145728,8594531,14348907,0,11011111010110010111,1,TERNARY_SPLIT,,,,,,1884187
2,1884187,9437184,8594531,43046721,0,11011111010110010111,10,OPEN,,,,,,1884187
2,5029915,9437184,22943438,43046721,0,11011111010110010111,11,REVERSE_MERGE,16,23,"[1,1,1,2,3,1,2,2,1,1,1,1,2,1,2,1]",4471035,8388608,5029915
2,8175643,9437184,37292345,43046721,0,11011111010110010111,12,OPEN,,,,,,8175643
1,2932763,3145728,13377500,14348907,0,11011111010110010111,2,REVERSE_MERGE,15,21,"[1,1,1,2,3,1,2,2,1,1,1,1,2,1,1]",1955175,2097152,2932763
0,639003,1048576,971585,1594323,0,11011111010110011001,,REVERSE_MERGE,2,2,"[1,1]",431815,708588,639003
0,376859,1048576,573004,1594323,0,11011111010110011010,,TERNARY_SPLIT,,,,,,376859
1,376859,3145728,573004,4782969,0,11011111010110011010,0,REVERSE_MERGE,14,21,"[2,2,1,3,1,2,2,1,1,1,1,2,1,1]",251239,2097152,376859
1,1425435,3145728,2167327,4782969,0,11011111010110011010,1,TERNARY_SPLIT,,,,,,1425435
2,1425435,9437184,2167327,14348907,0,11011111010110011010,10,OPEN,,,,,,1425435
2,4571163,9437184,6950296,14348907,0,11011111010110011010,11,OPEN,,,,,,4571163
2,7716891,9437184,11733265,14348907,0,11011111010110011010,12,OPEN,,,,,,7716891
1,2474011,3145728,3761650,4782969,0,11011111010110011010,2,TERNARY_SPLIT,,,,,,2474011
2,2474011,9437184,3761650,14348907,0,11011111010110011010,20,OPEN,,,,,,2474011
